PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=94.7 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=90.7 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=72.5 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=0.182 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=312 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=552 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=916 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=618 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=515 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=573 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=472 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=493 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=384 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=402 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=390 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=387 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=375 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=398 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=392 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=418 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=392 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=411 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=405 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=401 ms
64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=346 ms
64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=245 ms
64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=97.6 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=46.4 ms
64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=75.3 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=72.2 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=76.6 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=90.0 ms
64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=71.3 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=67.3 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=71.9 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=86.5 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=82.0 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=83.7 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=0.120 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=327 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=556 ms
64 bytes from 10.0.0.2: icmp_seq=361 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=479 ms
64 bytes from 10.0.0.2: icmp_seq=363 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=365 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=70.5 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=1.32 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=0.837 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=0.842 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=1.66 ms
